cliente;proyecto;espacio en disco;tamaño de disco;region AWS
avon;desafioinvierno;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-rg-desafioinvierno
adidas;livestreamingcarrera;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-co-livestreamingcarrera
priceless;twitterdescarga;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/priceless-mx-twitterdescarga
santander;concursobutacas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-mx-concursobutacas
adidas;tabrunning;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ve-tabrunning
brandigital;site;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/brandigital-ar-site
mastercard;pricelesscitieslanding;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercard-mx-pricelesscitieslanding
beldent;inventacaritas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/beldent-ar-inventacaritas
lserenisima;diamundial2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lserenisima-ar-diamundial2012
pilara;preventa2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/pilara-ar-preventa2012
adidas;camisetaudechile;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-cl-camisetaudechile
sap;ebook;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/sap-ar-ebook
mastercard;navidad2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercard-ar-navidad2012
claro;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/claro-ar-smm
lactacyd;appcodigo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-appcodigo
lactacyd;promocodigo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-promocodigo
espn;microanunciante;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/espn-ar-microanunciante
mastercard;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercard-mx-smm
adidas;originals2013;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ec-originals2013
mastercar;borderlinx;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercar-mx-borderlinx
priceless;twitterdescarga;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/priceless-mx-twitterdescarga
avon;megaeffects;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/2014/avon-ar-megaeffects
pritty;micropromocional;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/pritty-ar-micropromocional
adidas;appleonas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-appleonas
pommo;music;0;150GB;No entry dicionary;/var/sites/tray02/projects/pommo-priceless-music
avon;lleguemoslejos;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-ar-lleguemoslejos
gni;redisenio;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/gni-ar-redisenio
pilara;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/pilara-ar-smm
adidas;rrhh;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-rrhh
lactacyd;ipad;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/lactacyd-ar-ipad
avon;applazo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/avon-ar-applazo
adidas;tabpredator2012;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ec-tabpredator2012
